strategy,test_sharpe,test_return,n_days,P(a>0)|skep,BF_skep,CI95_skep_lo,CI95_skep_hi,ann_alpha_skep,P(a>0)|unin,BF_unin,CI95_unin_lo,CI95_unin_hi,ann_alpha_unin
Momentum+Stop,0.3864,0.0882,82,0.5322964826794889,0.9779813661952189,-0.0018315241067828108,0.0019895232372660354,1.9907890440886324,0.6303434673861081,0.42302322383428476,-0.006512689354982374,0.009176384082511261,33.56255356686401
Market Contrarian,-0.1593,-0.0308,82,0.5104320576804315,0.9873327059942603,-0.0019086627332201202,0.0019602870622539366,0.6504665458260896,0.555133233939666,0.5282899955062295,-0.009529834950909507,0.010980681276274168,18.280663699594783
Multi-TF Momentum,-0.4877,-0.1061,82,0.4894201401749295,0.9795872212522067,-0.00194525282522353,0.00189330814040538,-0.6545030287086872,0.45310362273945404,0.43804353402673296,-0.00903865755380975,0.008013558393210956,-12.916249423544807
Mean Reversion,0.9532,0.1749,82,0.5537488911327297,0.9822569595048836,-0.001776154586867888,0.0020392232889567745,3.314665646319978,0.7061838308730095,0.45242773205785247,-0.005537043805195444,0.009772901172493458,53.37180282795497
ML Direction,2.7729,0.489,82,0.5696386892632861,1.0005827780735561,-0.0017582766295632282,0.002104026876167521,4.356453107214097,0.813178710937708,0.7421791147606336,-0.005347320713041378,0.014237140767779839,112.01173268970462
Combined Best,2.0701,0.2282,82,0.6278269639290345,0.9908645050031131,-0.0015351013620694045,0.0021478854712724004,7.721079775957754,0.8208102210530879,0.40346242558628914,-0.0027560537709226188,0.007616929286764294,61.24703149960513
