,sig_peer_leadlag,sig_market_contrarian,sig_regime_cond,sig_vol_breakout,sig_dix_enhanced,sig_mean_reversion,sig_momentum_stop,sig_gap_fade,sig_volume_spike,sig_rsi_divergence,sig_mtf_momentum,sig_bb_mean_rev,sig_vrp_mean_rev,sig_iv_regime_cond,sig_vol_surf_comp,sig_ml_rf,sig_ml_xgb,sig_ml_lgbm
sig_peer_leadlag,1.0,0.0050820359383455865,0.05695320489472376,-0.1342806171109212,-0.1556977642231873,-0.058013586526762556,-0.06403628530901395,-0.11877751177668214,-0.010981037041542746,0.017029616024011065,-0.09176267841796362,0.09515094978723213,0.17922170825201247,0.1593271942898567,-0.04633783868121585,0.012437920361751073,0.0345560891575897,-0.031725149461577624
sig_market_contrarian,0.0050820359383455865,1.0,-0.034614683137115805,0.023950277234765435,-0.04624245009236183,0.2547589130737681,-0.03906250389010871,0.15951449470497467,0.06018324721292625,0.048905060666241534,-0.0926265215709545,0.09688241744557911,-0.04308036908587891,-0.019766263459821062,0.10124875782757378,0.014888360553841247,-0.04336695535948851,0.07108155551966891
sig_regime_cond,0.05695320489472376,-0.034614683137115805,1.0,-0.03377376951016717,0.020627601059867575,-0.3515613418133703,0.14214318703188433,-0.09076396294906278,0.39301951280179714,-0.061204014959632395,0.27718933623808995,-0.37752171652056254,-0.005021880302411783,0.07547016820038502,-0.07716393667806844,0.022976423951696853,-0.07287583417714615,0.057761373125100844
sig_vol_breakout,-0.1342806171109212,0.023950277234765435,-0.03377376951016717,1.0,0.06925077263712852,-0.004613082591273562,0.16630816326286293,0.022165221048835476,0.047437106996323,2.1193994654958926e-18,0.2820734633502375,-0.2039363028933834,-0.14195626987175677,0.08544673179264843,-0.08102711461634697,-0.0492937136717077,-0.12691223018743159,-0.04925731802104544
sig_dix_enhanced,-0.1556977642231873,-0.04624245009236183,0.020627601059867575,0.06925077263712852,1.0,-0.12025992100569818,0.02249503161858388,0.024659173643982846,0.12747450478656527,0.04894920574566737,0.10373838476075596,-0.17670215258252886,-0.11509549335094742,-0.10127177237422698,-0.06528735936475326,-0.31070118272728736,-0.2070965351092899,-0.1448251412138739
sig_mean_reversion,-0.058013586526762556,0.2547589130737681,-0.3515613418133703,-0.004613082591273562,-0.12025992100569818,1.0,-0.14838806243055624,0.26427458057969866,-0.29209373292313334,0.101744299789083,-0.16424391290689164,0.39319921613135267,-0.056651926634483596,0.04696244578581697,-0.11446120347112092,0.022193846906062166,-0.021662551266915794,0.0015636468867933635
sig_momentum_stop,-0.06403628530901395,-0.03906250389010871,0.14214318703188433,0.16630816326286293,0.02249503161858388,-0.14838806243055624,1.0,-0.031808053402059465,0.1282968156960177,-0.28039568462820386,0.6670695297484444,-0.5898892920954294,-0.09108664733539118,0.6024168879949435,-0.12865019251355694,-0.023083127569623055,-0.0930471537899628,-0.11248791751424665
sig_gap_fade,-0.11877751177668214,0.15951449470497467,-0.09076396294906278,0.022165221048835476,0.024659173643982846,0.26427458057969866,-0.031808053402059465,1.0,-0.14037283255266694,0.02993064656384283,-0.024646435093766076,0.10324801566878494,0.0009826882237281196,0.024904297455273488,-0.06902825101199393,-0.01107174140649423,0.046296727152539324,0.01573499576337539
sig_volume_spike,-0.010981037041542746,0.06018324721292625,0.39301951280179714,0.047437106996323,0.12747450478656527,-0.29209373292313334,0.1282968156960177,-0.14037283255266694,1.0,0.041830582522923626,0.1313071101269576,-0.28120853107649524,-0.0025505795765968856,-0.0027835155025589552,0.11629923667927261,0.019184430021974695,0.06284038519196988,0.05675824981913757
sig_rsi_divergence,0.017029616024011065,0.048905060666241534,-0.061204014959632395,2.1193994654958926e-18,0.04894920574566737,0.101744299789083,-0.28039568462820386,0.02993064656384283,0.041830582522923626,1.0,-0.25517181458686344,0.1697448464029255,-0.05300357651968761,-0.16802367616343183,-0.042265421229340024,0.0016542386200972966,-0.008388986785015094,0.16539458865506365
sig_mtf_momentum,-0.09176267841796362,-0.0926265215709545,0.27718933623808995,0.2820734633502375,0.10373838476075596,-0.16424391290689164,0.6670695297484444,-0.024646435093766076,0.1313071101269576,-0.25517181458686344,1.0,-0.71959803763779,-0.14379394532960565,0.582212206481371,-0.19252277590511974,-0.04508947592393175,-0.14992322597832877,-0.08264560994501377
sig_bb_mean_rev,0.09515094978723213,0.09688241744557911,-0.37752171652056254,-0.2039363028933834,-0.17670215258252886,0.39319921613135267,-0.5898892920954294,0.10324801566878494,-0.28120853107649524,0.1697448464029255,-0.71959803763779,1.0,0.13141946850254185,-0.3872129964183519,0.005691129160380248,0.04145090593959365,0.11950342603639559,0.00445021988306612
sig_vrp_mean_rev,0.17922170825201247,-0.04308036908587891,-0.005021880302411783,-0.14195626987175677,-0.11509549335094742,-0.056651926634483596,-0.09108664733539118,0.0009826882237281196,-0.0025505795765968856,-0.05300357651968761,-0.14379394532960565,0.13141946850254185,1.0,0.05839137018701097,0.10097520695265563,0.022089568675901772,0.09087834927793262,0.01788759560778052
sig_iv_regime_cond,0.1593271942898567,-0.019766263459821062,0.07547016820038502,0.08544673179264843,-0.10127177237422698,0.04696244578581697,0.6024168879949435,0.024904297455273488,-0.0027835155025589552,-0.16802367616343183,0.582212206481371,-0.3872129964183519,0.05839137018701097,1.0,-0.2801371446767962,0.06715940222389696,0.040460971253804996,-0.014754714321708618
sig_vol_surf_comp,-0.04633783868121585,0.10124875782757378,-0.07716393667806844,-0.08102711461634697,-0.06528735936475326,-0.11446120347112092,-0.12865019251355694,-0.06902825101199393,0.11629923667927261,-0.042265421229340024,-0.19252277590511974,0.005691129160380248,0.10097520695265563,-0.2801371446767962,1.0,0.0932194600709998,0.06974781583355046,0.02707060100285539
sig_ml_rf,0.012437920361751073,0.014888360553841247,0.022976423951696853,-0.0492937136717077,-0.31070118272728736,0.022193846906062166,-0.023083127569623055,-0.01107174140649423,0.019184430021974695,0.0016542386200972966,-0.04508947592393175,0.04145090593959365,0.022089568675901772,0.06715940222389696,0.0932194600709998,1.0,0.6544634675919375,0.634813683950112
sig_ml_xgb,0.0345560891575897,-0.04336695535948851,-0.07287583417714615,-0.12691223018743159,-0.2070965351092899,-0.021662551266915794,-0.0930471537899628,0.046296727152539324,0.06284038519196988,-0.008388986785015094,-0.14992322597832877,0.11950342603639559,0.09087834927793262,0.040460971253804996,0.06974781583355046,0.6544634675919375,1.0,0.42213787853235923
sig_ml_lgbm,-0.031725149461577624,0.07108155551966891,0.057761373125100844,-0.04925731802104544,-0.1448251412138739,0.0015636468867933635,-0.11248791751424665,0.01573499576337539,0.05675824981913757,0.16539458865506365,-0.08264560994501377,0.00445021988306612,0.01788759560778052,-0.014754714321708618,0.02707060100285539,0.634813683950112,0.42213787853235923,1.0
