Model,Full Sharpe,Annual Return,Max DD,Hit Rate,N Trades,Train Sharpe,Val Sharpe,Test Sharpe,Train-Test Gap,Bootstrap Mean,CI 2.5%,CI 97.5%,P(Sharpe>0),Perm p-value,Perm Pctl,P(alpha>0) Skeptical,P(alpha>0) Uninform
ML Meta-Ensemble,1.054,0.8409,-0.4014,0.5833,63,-0.8368,20.0,1.4644,2.3011999999999997,1.09144386214509,-0.673733942749473,2.8005077411570607,0.885,0.182,81.8,0.6515570288445104,0.8700581736918384
ML Meta-Ensemble (VolAdj),0.703,0.1807,-0.1283,0.5833,115,-1.2419,16.3946,1.4606,2.7024999999999997,0.7038865716155598,-1.0660990653367939,2.3829052588654016,0.7768,0.208,79.2,0.7319984090550714,0.7747110833733505
Rank-Weighted Ensemble,0.0068,0.0526,-0.3347,0.5294,220,0.3364,20.0,-1.8359,2.1723,0.16194087031471613,-1.8747121507969473,2.1671561130264863,0.5624,0.282,71.8,0.5464333458035899,0.5805713324666889
Rank-Weighted Ensemble (VolAdj),-0.3696,0.0137,-0.0856,0.5294,238,-0.2134,9.4237,-2.8317,2.6183,-0.3367406872377479,-2.2983485368602783,1.662557397127987,0.369,0.328,67.2,0.3759401099583807,0.3680725400153463
